english,hungarian
The Melancholy of Resistance,Az ellenállás melankóliája
War & War,Háború és háború
AnimalInside,ÁllatVanBent
Satantango,Sátántangó
The Bill,Számla
Seiobo There Below,Seiobo járt odalent
Destruction and Sorrow beneath the Heavens,Rombolás és bánat az Ég alatt
The Last Wolf,Az utolsó farkas
The Manhattan Project,A Manhattan-terv
The World Goes On,Megy a világ
Baron Wenckheim’s Homecoming,Báró Wenckheim hazatér
Chasing Homer,Mindig Homérosznak
Herscht 07769,Herscht 07769
"A Mountain to the North, a Lake to the South, Paths to the West, a River to the East","Északról hegy, Délről tó, Nyugatról utak, Keletről folyó"
Spadework for a Palace,Aprómunka egy palotáért
